id,routine_id,routine_name,step_number,step_description,encouragement,age_group,dlss_domain,requires_adult
1,1,Wash Hands,1,Turn on Water ,Way to go!,8 to 10,Personal Hygiene,No
2,1,Wash Hands,2,Wet hands,Washing your hands is important!,8 to 10,Personal Hygiene,No
3,1,Wash Hands,3,Apply soap,Smells good!,8 to 10,Personal Hygiene,No
4,1,Wash Hands,4,Scrub hands,"Scrub, scrub, scrub!",8 to 10,Personal Hygiene,No
5,1,Wash Hands,5,Rinse soap,Let's wash away those germs!,8 to 10,Personal Hygiene,No
6,1,Wash Hands,6,Turn off Water ,Clean hands keep everyone safe!,8 to 10,Personal Hygiene,No
7,1,Wash Hands,7,Dry hands,Nice and dry!,8 to 10,Personal Hygiene,No
8,2,Brush Teeth,1,Pick up toothbrush,You've got this!,8 to 10,Personal Hygiene,No
9,2,Brush Teeth,2,Apply toothpaste,Brushing your teeth keeps you healthy!,8 to 10,Personal Hygiene,No
10,2,Brush Teeth,3,Brush top teeth,Your smile is getting brighter!,8 to 10,Personal Hygiene,No
11,2,Brush Teeth,4,Brush bottom teeth,You're brushing like a pro!,8 to 10,Personal Hygiene,No
12,2,Brush Teeth,5,Rinse mouth,Fresh breath and clean teeth!,8 to 10,Personal Hygiene,No
13,2,Brush Teeth,6,Put away toothbrush,Everything in its place!,8 to 10,Personal Hygiene,No
14,3,Bathtime,1,Get towel,Great job getting ready!,5 to 7,Personal Hygiene,Yes
15,3,Bathtime,2,Get soap,Smells good!,5 to 7,Personal Hygiene,Yes
16,3,Bathtime,3,Get bath sponge or washcloth,Getting ready!,5 to 7,Personal Hygiene,No
17,3,Bathtime,4,Turn on Water ,Nice and warm!,5 to 7,Personal Hygiene,Yes
18,3,Bathtime,5,Fill tub with warm Water ,Not too much Water !,5 to 7,Personal Hygiene,Yes
19,3,Bathtime,6,Turn off Water ,Good job!,5 to 7,Personal Hygiene,Yes
20,3,Bathtime,7,Get in tub,Time to get clean!,5 to 7,Personal Hygiene,Yes
21,3,Bathtime,8,Wash body with soap,Making those bubbles work!,5 to 7,Personal Hygiene,Yes
22,3,Bathtime,9,Rinse,Like a champ!,5 to 7,Personal Hygiene,Yes
23,3,Bathtime,10,Dry off,So fresh and so clean!,5 to 7,Personal Hygiene,Yes
24,3,Bathtime,11,Put on clothes,Spiffy!,5 to 7,Personal Hygiene,Yes
25,4,Pack Backpack,1,Collect homework,Off to a great start!,5 to 7,Communication/Organization,Yes
26,4,Pack Backpack,2,Add lunchbox,So proud of you!,5 to 7,Communication/Organization,Yes
27,4,Pack Backpack,3,Check for supplies,You are so organized!,5 to 7,Communication/Organization,Yes
28,4,Pack Backpack,4,Zip backpack,You're a packing pro!,5 to 7,Communication/Organization,Yes
29,4,Pack Backpack,5,Place by door,Ready for success!,5 to 7,Communication/Organization,Yes
30,5,Put Away Backpack,1,Get backpack,Being organized is awesome!,8 to 10,Communication/Organization,No
31,5,Put Away Backpack,2,Unzip and remove items,Look at you go!,8 to 10,Communication/Organization,No
32,5,Put Away Backpack,3,Put homework on desk,Everything looks so neat!,8 to 10,Communication/Organization,No
33,5,Put Away Backpack,4,Hang backpack,Ready for success!,8 to 10,Communication/Organization,No
34,6,Pick A Bedtime Story,1,Go to bookshelf,Books are a great way to end the day!,8 to 10,Communication/Organization,No
35,6,Pick A Bedtime Story,2,Choose a book,Great choice!,8 to 10,Communication/Organization,No
36,6,Pick A Bedtime Story,3,Show to parent,It's fun to read together!,8 to 10,Communication/Organization,No
37,6,Pick A Bedtime Story,4,Snuggle in bed,Get comfy!,8 to 10,Communication/Organization,No
